Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
004044,Bryden Elementary School,043554,Beachwood,Cuyahoga,25501 Bryden Rd,"Beachwood, Ohio  44122-4162",(216) 831-3933,Christi A. Burger,1-3,Open,Excellent,3,3,287,95.9,107.3
004069,Buchanan Elementary School,044107,Hamilton,Butler,263 Hancock Ave,"Hamilton, Ohio  45011-4445",(513) 887-5070,Timothy R. Carr,K-6,Open,Continuous Improvement,5,10,288,95.9,88.5
004077,Buchtel High School,043489,Akron Public Schools,Summit,1040 Copley Rd,"Akron, Ohio  44320-2853",(330) 873-3300,Deborah A. Houchins,9-12,Open,Continuous Improvement,3,12,696,93.0,81.2
004085,Buckeye Central High School,046508,Buckeye Central,Crawford,306 S Kibler St,"New Washington, Ohio  44854-9771",(419) 492-2266,Jay R. Zeiter,7-12,Open,Effective,14,16,384,95.6,94.3
004093,Buckeye East Elementary School,046508,Buckeye Central,Crawford,PO Box 98,"Tiro, Ohio  44887-0098",(419) 342-3721,Mike E. Byrns,K-6,Open,Effective,7,10,135,96.2,93.1
004101,Buckeye Elementary School,047894,Painesville Township Local School District,Lake,175 Buckeye Rd,"Painesville, Ohio  44077-1949",(440) 352-2191,Nancy K. Lann,K-5,Open,Excellent,8,8,287,96.1,100.3
004119,Buckeye Elementary School,044735,Salem,Columbiana,1200 Buckeye Ave,"Salem, Ohio  44460-1562",(330) 332-8917,Dennis L. Niederhiser,K-2,Open,Excellent,3,3,389,95.1,100.7
004127,Buckeye High School,048470,Buckeye Local,Medina,3084 Columbia Rd,"Medina, Ohio  44256-9411",(330) 722-8257,Dennis M. Honkala,9-12,Open,Excellent,12,12,739,95.4,106.2
004135,Buckeye Middle School,043802,Columbus Public Schools,Franklin,2950 Parsons Ave,"Columbus, Ohio  43207-3742",(614) 365-5417,Marianne N. Minshall,6-8,Open,Academic Watch,0,7,659,92.9,74.9
004143,Buckeye Valley Local High School,046755,Buckeye Valley,Delaware,901 Coover Rd,"Delaware, Ohio  43015-9564",(740) 363-1349,Davis E. Baker,9-12,Open,Excellent,12,12,758,94.2,102.7
004150,Buckeye West Elementary School,046508,Buckeye Central,Crawford,PO Box 187,"Chatfield, Ohio  44825-0187",(419) 988-2431,Mike E. Byrns,K-6,Open,Excellent,10,10,125,96.4,101.2
004176,Buckskin Elementary School,045401,Greenfield,Highland,PO Box 69,"South Salem, Ohio  45681-0069",(937) 981-2673,Michael D. Shumate,"K-6,P",Open,Effective,6,8,282,94.6,83.5
004184,Bucyrus High School,043687,Bucyrus,Crawford,900 W Perry St,"Bucyrus, Ohio  44820-1761",(419) 562-7721,James C. Oyster,"9-12,SN",Open,Effective,9,12,546,95.5,97.4
004192,Budd Elementary School,045468,Loudonville-Perrysville,Ashland,210 E Main St,"Loudonville, Ohio  44842-1245",(419) 994-3327,Steven J. Orchard,4-6,Open,Excellent,8,8,285,98.7,98.3
004200,Buena Vista Elementary School,044826,Steubenville,Jefferson,3800 Schenley Ave,"Steubenville, Ohio  43952-1053",(740) 264-1590,Joseph P. Nocera,K-5,Open,Excellent,8,8,258,95.5,109.1
004218,Brook Elementary School,047308,Rolling Hills,Guernsey,58601 Marietta Rd,"Byesville, Ohio  43723-9705",(740) 685-2526,W Gail G. Thomas,K-5,Open,Continuous Improvement,1,8,459,95.0,86.2
004234,Buhrer Elementary School,043786,Cleveland Municipal,Cuyahoga,1600 Buhrer Ave,"Cleveland, Ohio  44109-1747",(216) 621-8893,Janis F. Arnold,K-8,Open,Academic Watch,0,14,446,92.7,76.6
004242,Mckinsey Elementary School,043513,Ashtabula Area,Ashtabula,1113 Bunker Hill Rd,"Ashtabula, Ohio  44004-7610",(440) 993-2606,Rebecca D. Evanson,K-6,Open,Continuous Improvement,2,10,389,94.7,87.6
004267,Paul C Bunn Elementary School,045161,Youngstown,Mahoning,1813 Windsor Ave,"Youngstown, Ohio  44502-3066",(330) 744-8963,Maria C. Pappas,K-6,Open,Continuous Improvement,1,6,259,95.0,86.1
004275,Burbank Elementary School,050567,North Central,Wayne,125 South St,"Burbank, Ohio  44214",(330) 624-2962,Andrew J. Froelich,K-4,Open,Effective,5,6,219,95.6,97.4
004317,Burlington Elementary School,047951,South Point,Lawrence,PO Box 310,"South Point, Ohio  45680-0310",(740) 894-4230,Mark A. Christian,K-5,Open,Excellent,8,8,257,96.0,102.3
004333,Burr Road Middle School,045641,Wauseon Exempted Village Schools,Fulton,717 Burr Rd,"Wauseon, Ohio  43567-1605",(419) 335-2701,William J. Friess,6-8,Open,Excellent,7,7,470,96.2,101.4
004341,Burroughs Elementary School,043802,Columbus Public Schools,Franklin,2585 Sullivant Ave,"Columbus, Ohio  43204-2910",(614) 365-5923,Steven R. Holland,"K-5,P",Open,Academic Watch,1,8,483,93.9,75.2
004358,Burroughs Elementary School,044909,Toledo,Lucas,2404 South Ave,"Toledo, Ohio  43609-1611",(419) 382-2232,Michael J. Schardt,K-6,Open,Continuous Improvement,3,10,392,96.0,82.8
004366,Burton Elementary School,047167,Berkshire,Geauga,PO Box 406,"Burton, Ohio  44021-0406",(440) 834-4616,Cynthia A. Ducca,"K-6,P",Open,Effective,8,10,446,95.7,98.4
004374,Burton Elementary School,043752,Cincinnati Public Schools,Hamilton,876 Glenwood Ave,"Cincinnati, Ohio  45229-2712",(513) 363-9700,Janice Pitts,"P,K-8",Open,Continuous Improvement,2,14,373,94.6,71.3
004390,Butler Elementary School,049411,Clear Fork Valley,Richland,125 College St,"Butler, Ohio  44822-9675",(419) 883-3451,William R. Knight,K-5,Open,Effective,7,8,329,95.5,98.3
004408,Butler Middle School,046631,Arcanum Butler,Darke,1481 State Route 127,"Arcanum, Ohio  45304-8203",(937) 678-6571,Teresa F. Woodin,6-8,Open,Excellent,7,7,229,95.2,99.7
004416,Butler High School,044958,Vandalia-Butler,Montgomery,600 S Dixie Dr,"Vandalia, Ohio  45377-2550",(937) 415-6300,Jeff S. Cassell,9-12,Open,Excellent,12,12,1202,96.4,107.5
004424,Butternut Elementary School,044529,North Olmsted City Schools,Cuyahoga,26669 Butternut Ridge Rd,"North Olmsted, Ohio  44070-4406",(440) 779-3523,James W. Schilling,K-3,Open,Excellent,3,3,226,95.2,97.2
004432,Byesville Elementary School,047308,Rolling Hills,Guernsey,212 Main St,"Byesville, Ohio  43723-1339",(740) 685-2523,Dennis C. Dettra,K-5,Open,Effective,6,8,242,95.2,92.7
004457,Shaker Hts Middle School,044750,Shaker Heights,Cuyahoga,20600 Shaker Blvd,"Shaker Heights, Ohio  44122-2620",(216) 295-4100,Randall A. Yates,7-8,Open,Effective,3,5,895,94.8,94
004473,C O Harrison Elementary School,047373,Oak Hills Local School District,Hamilton,585 Neeb Rd,"Cincinnati, Ohio  45233-4610",(513) 922-1485,Deborah A. Haffey,K-5,Open,Excellent,8,8,918,95.9,105.8
004481,C R Towslee Elementary School,043661,Brunswick,Medina,3555 Center Rd,"Brunswick, Ohio  44212-3617",(330) 273-0487,Lisa C. Mayle,K-5,Open,Effective,7,8,416,96.0,99.5
004507,Harrison Central High School,045245,Harrison Hills,Harrison,440 E Market St,"Cadiz, Ohio  43907-1244",(740) 942-7700,James A. Rocchi,7-12,Open,Effective,7,12,648,94.4,93.3
004515,Southwestern Elementary School,065680,Gallia County,Gallia,4834 State Route 325,"Patriot, Ohio  45658-8960",(740) 379-2532,Larry F. Carter,K-8,Open,Continuous Improvement,7,14,334,94.0,88.9
004549,Calcutta Elementary School,046425,Beaver,Columbiana,15482 State Route 170,"East Liverpool, Ohio  43920-9602",(330) 386-8709,Gerald W. Barnes,K-4,Open,Excellent,6,6,414,94.3,101.3
004556,Caldwell High School,045252,Caldwell,Noble,516 Fairground St,"Caldwell, Ohio  43724-1175",(740) 732-5634,Harry D. Summers,9-12,Open,Effective,10,12,309,93.7,99.4
004564,Caldwell Elementary School,045252,Caldwell,Noble,44350 Fairgrounds Rd,"Caldwell, Ohio  43724-9561",(740) 732-4614,Jeffrey B. Morris,K-8,Open,Effective,10,14,666,94.7,93.2
004580,Liberty Elementary School,048447,River Valley,Marion,1932 Whetstone River Rd N,"Caledonia, Ohio  43314-9720",(740) 725-5600,Jonathan D. Langhals,K-5,Open,Continuous Improvement,3,8,422,96.2,87.4
004598,Caledonia Elementary School,043901,East Cleveland,Cuyahoga,914 Caledonia Ave,"East Cleveland, Ohio  44112-2319",(216) 268-6690,Vernillis B. Chambers,K-7,Open,Continuous Improvement,5,12,365,95.9,83.4
004614,Cambridge Middle School,043695,Cambridge,Guernsey,65370 Creek Rd,"Cambridge, Ohio  43725-9410",(740) 435-1140,William C. Lee,6-8,Open,Continuous Improvement,3,7,586,93.3,87.6
004622,Cambridge High School,043695,Cambridge,Guernsey,65328 Creek Rd,"Cambridge, Ohio  43725-9410",(740) 435-1100,Frank L. Blake,9-12,Open,Effective,10,12,810,90.5,93.8
004630,Camden Elementary School,049288,Preble Shawnee Board of Education Offices,Preble,120 Bloomfield St,"Camden, Ohio  45311-1154",(937) 452-1204,Colonel R. Shockey,K-3,Open,Effective,2,3,450,94.7,97.6
004663,Cameron Park Elementary School,044081,Winton Woods,Hamilton,626 Waycross Rd,"Cincinnati, Ohio  45240-3821",(513) 619-2460,Claire L. Crook,K-6,Open,Effective,6,10,438,96.2,91.5
004697,C H Campbell Elementary School,048314,Canfield,Mahoning,300 Moreland Dr,"Canfield, Ohio  44406-1028",(330) 533-5959,Kent C. Polen,K-4,Open,Excellent,6,6,466,96.0,107.3
004713,Ironton Junior High School,044149,Ironton,Lawrence,1701 S 7th St,"Ironton, Ohio  45638-2262",(740) 532-9458,Toben E. Schreck,7-8,Open,Continuous Improvement,2,5,264,95.1,84.9
004739,Campus Intermediate Elementary School,049239,Streetsboro City Schools,Portage,8955 Kirby Ln,"Streetsboro, Ohio  44241-1724",(330) 626-4907,Sheryl Langell,2-3,Open,Excellent,3,3,285,95.6,103.7
004747,Jonathan Alder Junior High,048264,Jonathan Alder,Madison,6440 Kilbury Huber Rd,"Plain City, Ohio  43064-9573",(614) 873-4635,Jud B. Ross,7-8,Open,Excellent,5,5,292,95.2,102.6
004754,Canal Fulton Elementary School,049908,Northwest,Stark,8540 Erie Ave N,"Canal Fulton, Ohio  44614-9363",(330) 854-4537,Jay W. Baughman,3,Open,Excellent,3,3,168,96.7,106.1
004762,Canal Winchester Intermediate Elementary School,046946,Canal Winchester,Franklin,122 Washington St,"Canal Winchester, Ohio  43110-1224",(614) 833-2153,William C. Whitlatch,5-6,Open,Effective,3,5,474,95.3,90.4
004770,Canal Winchester High School,046946,Canal Winchester,Franklin,300 Washington St,"Canal Winchester, Ohio  43110-1228",(614) 833-2157,Lynn P. Landis,9-12,Open,Excellent,12,12,837,94.7,101.1
004796,Canfield High School,048314,Canfield,Mahoning,100 Cardinal Dr,"Canfield, Ohio  44406-1111",(330) 533-5507,Adeline H. Barone,9-12,Open,Excellent,12,12,1058,95.1,109.4
004804,Canterbury Elementary School,043794,Cleveland Heights-University Heights,Cuyahoga,2530 Canterbury Rd,"Cleveland Heights, Ohio  44118-4333",(216) 371-7470,Serena T. Houston-Edwards,K-5,Open,Continuous Improvement,2,8,381,95.7,86.7
004812,Canton South High School,049833,Canton Local School District,Stark,600 Faircrest St SE,"Canton, Ohio  44707-1344",(330) 484-8000,Ira Wentworth,9-12,Open,Excellent,12,12,875,94.7,101.4
004820,Captain Arthur Roth Elementary School,043786,Cleveland Municipal,Cuyahoga,12523 Woodside Ave,"Cleveland, Ohio  44108-2422",(216) 761-6528,Conrad Hamlet,K-8,Open,Academic Emergency,3,14,412,90.2,69.7
004838,East Palestine Elementary School,043927,East Palestine,Columbiana,195 W Grant St,"East Palestine, Ohio  44413-1605",(330) 426-3638,Katherine A. Mamonis,K-5,Open,Continuous Improvement,2,8,597,95.0,86.9
004846,Cardinal Middle School,047175,Cardinal,Geauga,PO Box 879,"Middlefield, Ohio  44062-0879",(440) 632-0263,James A. Millet,6-8,Open,Effective,6,7,310,96.2,97.6
004853,Cardinal High School,047175,Cardinal,Geauga,PO Box 7,"Middlefield, Ohio  44062-0007",(440) 632-0264,David L. Ritter,9-12,Open,Excellent,12,12,401,95.0,102.7
004861,Cardington-Lincoln High School,048793,Cardington-Lincoln,Morrow,349 Chesterville Ave,"Cardington, Ohio  43315-9217",(419) 864-2691,Taylor M. Gerhardt,9-12,Open,Effective,7,12,377,95.2,92.2
004879,Cardington-Lincoln Elementary School,048793,Cardington-Lincoln,Morrow,121 Nichols St,"Cardington, Ohio  43315-1121",(419) 864-6692,Richard J. Cullen,K-5,Open,Effective,2,3,327,95.5,95.2
004887,Carey High School,045260,Carey,Wyandot,357 E South St,"Carey, Ohio  43316-1273",(419) 396-7638,Karl M. Vehre,7-12,Open,Effective,15,16,483,96.0,98.1
004895,Carl F Shuler Middle School,043786,Cleveland Municipal,Cuyahoga,13501 Terminal Ave,"Cleveland, Ohio  44135-1650",(216) 671-0272,Marilyn L. Cargile,7-11,Open,Continuous Improvement,2,12,450,88.9,83.8
004903,Carlisle Elementary School,043687,Bucyrus,Crawford,501 S East St,"Bucyrus, Ohio  44820-2835",(419) 562-3224,Jeannine E. Tupps,"P,K,1-4,SN",Closed,NC,0,0,--,--,0
004911,Carlisle High School,050419,Carlisle,Warren,250 Jamaica Rd,"Carlisle, Ohio  45005-3106",(937) 746-4481,Matt M. Bishop,9-12,Open,Excellent,12,12,539,93.8,100.9
004929,Alden R Brown Elementary School,050419,Carlisle,Warren,310 Jamaica Rd,"Carlisle, Ohio  45005-3108",(937) 746-7610,Allyson J. Couch,K-2,Open,NC,1,1,374,95.4,
004937,Carlisle Intermediate Elementary School,050419,Carlisle,Warren,100 Jamaica Rd,"Carlisle, Ohio  45005-3110",(937) 746-8969,David W. Starkey,3-5,Open,Effective,4,8,415,95.5,91.5
004952,F G Carlson Elementary School,043844,Dayton,Montgomery,807 S Gettysburg Ave,"Dayton, Ohio  45408-1517",(937) 542-4290,Arlana D. Barnes,K-6,Open,Continuous Improvement,3,10,349,92.9,84.1
004960,Carpenter Elementary School,044297,Mansfield,Richland,71 Carpenter Rd,"Mansfield, Ohio  44903-2205",(419) 525-6319,Kelly M. Kuhn,"K,1-5,SN",Open,Academic Emergency,1,8,192,95.1,64.5
004986,Carroll Elementary School,048926,Benton Carroll Salem,Ottawa,3536 N State Route 19,"Oak Harbor, Ohio  43449-8828",(419) 898-6215,Judith A. Peters,K-5,Open,Excellent,8,8,143,95.6,100.7
004994,Bloom-Carroll High School,046862,Bloom-Carroll,Fairfield,5240 Plum Road NW,"Carroll, Ohio  43112-9661",(740) 756-4318,Roger D. Mace,9-12,Open,Excellent,12,12,525,95.1,102.6
005009,Carrollton Elementary School,045278,Carrollton,Carroll,252 3rd St NE,"Carrollton, Ohio  44615-1236",(330) 627-4592,Christina E. Hull,K-5,Open,Effective,5,8,631,94.8,95.6
005017,Carrollton High School,045278,Carrollton,Carroll,252 3rd St NE,"Carrollton, Ohio  44615-1236",(330) 627-2134,David L. Davis,9-12,Open,Excellent,11,12,927,93.7,101.3
005025,Dater Montessori Elementary School,043752,Cincinnati Public Schools,Hamilton,2840 Boudinot Ave,"Cincinnati, Ohio  45238-2425",(513) 363-0900,Margaret Z. Thomas,"P,K,1-7",Open,Effective,7,12,649,96.6,92.1
005033,Carthage Paideia Academy Elementary School,043752,Cincinnati Public Schools,Hamilton,125 W North Bend Rd,"Cincinnati, Ohio  45216-1737",(513) 363-1100,Margaret M. Hammond,K-6,Open,Effective,4,10,258,94.4,90
005041,Carylwood Intermediate School,043562,Bedford,Cuyahoga,1387 Caryl Dr,"Bedford, Ohio  44146-4528",(440) 439-4509,Lea R. Travis,3-5,Open,Continuous Improvement,2,8,376,96.5,85.8
005058,Cascade Elementary School,043943,Elyria,Lorain,233 Bond St,"Elyria, Ohio  44035-3507",(440) 284-8001,Aretha L. Dixon,K-6,Open,Continuous Improvement,4,10,295,95.6,84.9
005066,Case Elementary School,043786,Cleveland Municipal,Cuyahoga,4050 Superior Ave,"Cleveland, Ohio  44103-1128",(216) 431-4390,Nell L. Byrd,K-8,Open,Academic Emergency,1,14,579,90.1,67.3
005074,Case Elementary School,043489,Akron Public Schools,Summit,1393 Westvale Ave,"Akron, Ohio  44313-6565",(330) 873-3350,Karen E. Gegick,K-5,Open,Continuous Improvement,4,8,413,95.3,89.6
005082,Cassingham Elementary School,043620,Bexley,Franklin,250 S Cassingham Rd,"Bexley, Ohio  43209-1899",(614) 237-4266,Barbara B. Heisel,K-6,Open,Excellent,10,10,320,96.1,106.9
005108,Catawba Elementary School,044651,Port Clinton,Ottawa,3321 NW Catawba Rd,"Port Clinton, Ohio  43452-9787",(419) 797-2179,Gary Steyer,K-3,Open,Excellent,3,3,84,96.8,100
005124,Cedar Elementary School,043711,Canton,Stark,2823 9th St SW,"Canton, Ohio  44710-1917",(330) 453-0065,Carol E. Herring,K-6,Open,Continuous Improvement,1,10,481,95.5,83.1
005132,Cedar Heights Elementary School,044206,Lancaster,Fairfield,1515 Cedar Hill Rd,"Lancaster, Ohio  43130-3582",(740) 687-7334,Jeromey Sheets,K-5,Open,Effective,5,10,376,95.4,90.6
005157,Cedarbrook Elementary School,044628,Painesville City,Lake,350 Cedarbrook Dr,"Painesville, Ohio  44077-2849",(440) 392-5350,Marilynn E. Leahy,K-5,Open,Excellent,7,8,411,95.9,101.5
005165,Cedarville Elementary School,047258,Cedar Cliff,Greene,248 N. Main St,"Cedarville, Ohio  45314-0045",(937) 766-3811,Eric A. Snead,K-6,Open,Effective,7,8,263,95.7,97.3
005173,Cedarville High School,047258,Cedar Cliff,Greene,PO Box 45,"Cedarville, Ohio  45314-0045",(937) 766-1871,Virginia D. Potter,7-12,Open,Excellent,17,18,379,94.8,104.5
005181,Cedarwood Alternative Elementary School,043802,Columbus Public Schools,Franklin,775 Bartfield Dr,"Columbus, Ohio  43207-4153",(614) 365-5421,Breanna S. Reed,"K-5,P",Open,Continuous Improvement,2,8,438,95.7,82.4
005199,Celina Middle School,043729,Celina,Mercer,615 Holly St,"Celina, Ohio  45822-1352",(419) 586-8300,Ann E. Esselstein,7-8,Open,Effective,3,5,457,95.4,96.3
005207,Celina High School,043729,Celina,Mercer,715 E Wayne St,"Celina, Ohio  45822-1332",(419) 586-8300,Curtis L. Shellabarger,9-12,Open,Excellent,12,12,1078,95.4,100.4
005215,Centennial Elementary School,044982,Wapakoneta City,Auglaize,700 S Water St,"Wapakoneta, Ohio  45895-2364",(419) 739-5000,Wesley K. Newland,K-2,Open,NC,1,1,456,96.1,
005249,Center Elementary School,050484,Fort Frye,Washington,2535 St Rt 83,"Beverly, Ohio  45715-9801",(740) 558-2281,Laura E. Warren,1-6,Open,Continuous Improvement,2,6,41,95.5,77.9
005256,Newton Falls Middle School,045567,Newton Falls,Trumbull,905 Milton Blvd,"Newton Falls, Ohio  44444-9707",(330) 872-0695,Marilyn K. Liber,3-6,Open,Continuous Improvement,5,10,437,94.0,87.3
005264,Perry Elementary School,047902,Perry,Lake,1 Learning Ln,"Perry, Ohio  44081-9422",(440) 259-2781,Michele E. Pulling,K-4,Open,Excellent,6,6,638,96.6,104.1
005280,Centerburg Elementary School,047829,Centerburg,Knox,207 S Preston St,"Centerburg, Ohio  43011-9755",(740) 625-6488,Charles Davis,K-5,Open,Effective,7,8,478,95.6,95.9
005298,Centerburg High School,047829,Centerburg,Knox,3782 Columbus Rd,"Centerburg, Ohio  43011-9475",(740) 625-6055,John W. Morgan,9-12,Open,Excellent,12,12,387,93.1,101.3
005322,Centerville High School,043737,Centerville,Montgomery,500 E Franklin St,"Centerville, Ohio  45459-5714",(937) 439-3500,Eileen M. Booher,9-12,Open,Excellent,12,12,2784,94.3,108.5
005330,Central Elementary School,044875,Sylvania,Lucas,7460 W Central Ave,"Toledo, Ohio  43617-1123",(419) 824-8610,Toni L. Gerber,K-5,Open,Excellent,7,8,563,96.1,101.1
005348,London Jr. High School,044255,London,Madison,60 S Walnut St,"London, Ohio  43140-1246",(740) 852-5700,Mark D. Elliott,7-8,Open,Continuous Improvement,3,5,319,94.2,88.5
005355,Central College Elementary School,045047,Westerville,Franklin,825 S Sunbury Rd,"Westerville, Ohio  43081-9553",(614) 797-7030,Stephen J. Petercsak,1-5,Open,Excellent,8,8,124,96.3,108
005363,Mason Middle School,050450,Mason,Warren,6370 S Mason Montgomery Rd,"Mason, Ohio  45040-1728",(513) 398-9035,Tonya L. Mccall,7-8,Open,Excellent,5,5,1451,96.7,106.3
005371,Central Elementary School,044487,New Philadelphia,Tuscarawas,145 Ray Ave NW,"New Philadelphia, Ohio  44663-2629",(330) 364-0700,Deborah B. Fishley,K-5,Open,Effective,6,8,277,95.7,91.9
005389,Central Elementary School,049197,Field,Portage,1473 Saxe Rd,"Mogadore, Ohio  44260-9790",(330) 673-4514,Margaret B. Wiley,K,Open,NC,1,1,156,94.7,
005397,Central Elementary School,044438,Napoleon Area,Henry,315 W Main St,"Napoleon, Ohio  43545-1754",(419) 599-1851,Thomas R. Jenny,K-5,Open,Effective,6,8,409,96.4,94.1
005405,Central Academy Nongraded Elementary School,044404,Middletown,Butler,1516 1st Ave,"Middletown, Ohio  45044-4124",(513) 420-4537,Dianne C. Suiter,K-6,Open,Continuous Improvement,2,10,223,95.6,83.8
005413,West Main Intermediate Elementary School,044453,Newark,Licking,112 W Main St,"Newark, Ohio  43055-5008",(740) 349-2337,Sue S. Leedale,5-6,Open,Effective,4,5,423,95.9,97.6
005439,Central Elementary School,045096,Willard,Huron,206 W Pearl St,"Willard, Ohio  44890-1323",(419) 935-5341,Sandra L. Sutherland,"K-4,P",Open,Continuous Improvement,3,6,371,94.5,88.5
005447,Wellston Middle School,045021,Wellston City Schools,Jackson,227 Golden Rocket Drive,"Wellston, Ohio  45692-9305",(740) 384-2251,Barbara R. White,6-8,Open,Continuous Improvement,5,7,396,95.7,88.8
005462,Fairfield Central Elementary School,046102,Fairfield,Butler,5058 Dixie Hwy,"Fairfield, Ohio  45014-2934",(513) 829-7979,Richard A. Wood,1-4,Open,Excellent,6,6,593,96.7,100.7
005496,Central Elementary School,049437,Lexington,Richland,124 Frederick St,"Lexington, Ohio  44904-1240",(419) 884-1308,Kathleen W. Dinkel,K-4,Open,Excellent,6,6,360,96.6,102.5
005504,Davey Elementary School,044164,Kent,Portage,196 N Prospect St,"Kent, Ohio  44240-2281",(330) 673-6703,Linda C. Walker,"K-5,P",Open,Excellent,8,8,337,95.4,102.3
005538,Central Elementary School,044784,Sidney,Shelby,102 N Miami Ave,"Sidney, Ohio  45365-2741",(937) 497-2258,Hugh C. Aukerman,K-3,Open,Excellent,3,3,132,94.0,93.1
005546,Central Elementary School,044776,Shelby,Richland,25 High School Ave,"Shelby, Ohio  44875-1576",(419) 347-1018,C. D. Ervin,K-6,Open,Effective,4,5,346,96.0,95.8
005561,Central Primary School,043562,Bedford,Cuyahoga,799 Washington St,"Bedford, Ohio  44146-3658",(440) 439-4225,Terry D. Lipford,K-2,Open,NC,1,1,447,97.1,
005595,Central Fairmount Elementary School,043752,Cincinnati Public Schools,Hamilton,2475 White St,"Cincinnati, Ohio  45214-1139",(513) 363-1200,Teresa A. Conley,"P,K-8",Open,Academic Emergency,0,14,319,92.4,58
005611,Central Hower High School,043489,Akron Public Schools,Summit,123 S Forge St,"Akron, Ohio  44308-1703",(330) 761-1605,Addie W. Veasley,9-12,Closed,Continuous Improvement,4,12,777,89.8,86.7
005637,Carl & Louis Stokes Central Academy,043786,Cleveland Municipal,Cuyahoga,2225 E 40th St,"Cleveland, Ohio  44103-4409",(216) 431-4410,Donna L. Baynes,K-8,Open,Academic Emergency,0,14,536,91.1,60.7
005645,Central Intermediate Elementary School,044453,Newark,Licking,116 W Church St,"Newark, Ohio  43055-5033",(740) 349-2331,Diane M. Henry,5-6,Open,Effective,3,5,317,95.5,94.1
005660,Lima North Middle School,044222,Lima,Allen,1135 N West St,"Lima, Ohio  45801-3655",(419) 996-3100,Mark Vaughn,5-8,Open,Academic Watch,1,9,541,94.3,73.1
005678,Central Middle School,045153,Xenia Community,Greene,425 Edison Blvd,"Xenia, Ohio  45385-2253",(937) 372-7635,Michael Earley,6-8,Open,Effective,3,7,605,94.0,90.4
005686,Central Middle School,043984,Findlay,Hancock,200 W Main Cross St,"Findlay, Ohio  45840-3313",(419) 425-8257,Christopher R. Renn,6-8,Open,Excellent,7,7,466,95.7,99
005710,Wadsworth Middle School,044974,Wadsworth City Schools,Medina,150 Silvercreek Rd,"Wadsworth, Ohio  44281-9002",(330) 335-1410,Roger S. Wright,7-8,Open,Excellent,5,5,707,96.1,99.6
005728,Central Community Elementary School,044693,Reading Community,Hamilton,1301 Bonnell St,"Reading, Ohio  45215-3322",(513) 554-1001,Connie M. Garafalo,"K-6,9",Open,Effective,8,10,316,95.1,97.4
005736,Zane Trace Elementary School,049544,Zane Trace,Ross,946 State Route 180,"Chillicothe, Ohio  45601-8141",(740) 775-1304,Gary L. Stump,K-4,Open,Effective,5,6,596,95.5,95.6
005744,Chaffin Elementary School,046920,Miami Trace,Fayette,2462 Old US 35 SE,"Washington Court Hou, Ohio  43160-9302",(740) 335-3311,Norma K. Kirby,1-3,Open,Effective,2,3,113,96.4,97.9
005751,Chagrin Falls High School,045286,Chagrin Falls,Cuyahoga,400 E Washington St,"Chagrin Falls, Ohio  44022-2924",(440) 247-2583,Robert W. Hunt,9-12,Open,Excellent,12,12,651,95.6,112.8
005769,Chagrin Falls Middle School,045286,Chagrin Falls,Cuyahoga,342 E Washington St,"Chagrin Falls, Ohio  44022-2994",(440) 247-4746,Eileen M. Parmelee,7-8,Open,Excellent,5,5,315,96.7,109.5
005777,Chalker High School,050237,Southington,Trumbull,4432 State Route 305,"Southington, Ohio  44470-9721",(330) 898-1781,Nicholas J. Roberts,9-12,Open,Excellent,11,12,189,94.8,100.8
005785,R B Chamberlin Middle School,050070,Twinsburg,Summit,10270 Ravenna Rd,"Twinsburg, Ohio  44087-1723",(330) 486-2281,Belinda Scott,7-8,Open,Excellent,5,5,667,96.2,101.1
005793,Chambers Elementary School,043901,East Cleveland,Cuyahoga,14121 Shaw Ave,"East Cleveland, Ohio  44112-2522",(216) 268-6640,Phyllis B. Cook,K-8,Open,Continuous Improvement,5,14,828,93.3,83.2
005801,Champion Central Elementary School,050138,Champion,Trumbull,5759 Mahoning Ave NW,"Warren, Ohio  44483-1139",(330) 847-2315,Cheryl L. Kirk,K-4,Open,Excellent,6,6,563,95.4,101.2
005819,Champion High School,050138,Champion,Trumbull,5976 Mahoning Ave NW,"Warren, Ohio  44483-1144",(330) 847-2305,Michele M. Bonno,9-12,Open,Excellent,12,12,586,96.5,100.4
005827,Champion Middle School,043802,Columbus Public Schools,Franklin,1270 Hawthorne Ave,"Columbus, Ohio  43203-1624",(614) 365-6082,Joseph T. Santa-Emma,6-8,Open,Academic Emergency,1,7,284,93.6,58.6
005835,Champion Middle School,050138,Champion,Trumbull,5435 Kuszmaul Ave NW,"Warren, Ohio  44483-1262",(330) 847-2340,Mary R. Walker,5-8,Open,Effective,8,9,515,95.0,99.8
005850,Chaney High School,045161,Youngstown,Mahoning,731 S Hazelwood Ave,"Youngstown, Ohio  44509-2233",(330) 744-8822,Robert G. Spencer,9-12,Open,Effective,6,12,777,91.4,91.5
005868,Chapelfield Elementary School,046961,Gahanna-Jefferson,Franklin,280 Chapelfield Rd,"Gahanna, Ohio  43230-2537",(614) 478-5575,Barbara J. Murdock,K-5,Open,Excellent,8,8,325,96.9,99.4
